Date,Light
10/04/2017 10:53,1.136
10/04/2017 10:58,1.136
10/04/2017 11:03,1.136
10/04/2017 11:08,1.136
10/04/2017 11:13,1.136
10/04/2017 11:18,1.136
10/04/2017 11:23,1.136
10/04/2017 11:28,1.136
10/04/2017 11:33,1.136
10/04/2017 11:38,1.136
10/04/2017 11:43,1.136
10/04/2017 11:48,1.136
10/04/2017 11:53,1.136
10/04/2017 11:58,1.136
10/04/2017 12:03,1.136
10/04/2017 12:08,1.136
10/04/2017 12:13,1.136
10/04/2017 12:18,1.136
10/04/2017 12:23,1.136
10/04/2017 12:28,1.136
10/04/2017 12:33,1.136
10/04/2017 12:38,1.136
10/04/2017 12:43,1.136
10/04/2017 12:48,1.136
10/04/2017 12:53,1.136
10/04/2017 12:58,1.136
10/04/2017 13:03,1.136
10/04/2017 13:08,1.136
10/04/2017 13:13,1.136
10/04/2017 13:18,1.136
10/04/2017 13:23,1.136
10/04/2017 13:28,1.136
10/04/2017 13:33,1.136
10/04/2017 13:38,1.136
10/04/2017 13:43,1.136
10/04/2017 13:48,1.136
10/04/2017 13:53,1.136
10/04/2017 13:58,1.136
10/04/2017 14:03,1.136
10/04/2017 14:08,1.136
10/04/2017 14:13,1.136
10/04/2017 14:18,1.136
10/04/2017 14:23,1.136
10/04/2017 14:28,1.136
10/04/2017 14:33,1.136
10/04/2017 14:38,1.136
10/04/2017 14:43,1.136
10/04/2017 14:48,1.136
10/04/2017 14:53,1.136
10/04/2017 14:58,1.136
10/04/2017 15:03,1.136
10/04/2017 15:08,1.136
10/04/2017 15:13,1.136
10/04/2017 15:18,1.136
10/04/2017 15:23,1.136
10/04/2017 15:28,1.136
10/04/2017 15:33,1.136
10/04/2017 15:38,1.136
10/04/2017 15:43,1.136
10/04/2017 15:48,1.136
10/04/2017 15:53,1.136
10/04/2017 15:58,1.136
10/04/2017 16:03,1.136
10/04/2017 16:08,1.136
10/04/2017 16:13,1.136
10/04/2017 16:18,1.136
10/04/2017 16:23,1.136
10/04/2017 16:28,1.136
10/04/2017 16:33,1.136
10/04/2017 16:38,1.136
10/04/2017 16:43,1.136
10/04/2017 16:48,1.136
10/04/2017 16:53,1.136
10/04/2017 16:58,1.136
10/04/2017 17:03,1.136
10/04/2017 17:08,1.136
10/04/2017 17:13,1.136
10/04/2017 17:18,1.136
10/04/2017 17:23,1.136
10/04/2017 17:28,1.136
10/04/2017 17:33,1.136
10/04/2017 17:38,1.136
10/04/2017 17:43,1.136
10/04/2017 17:48,1.136
10/04/2017 17:53,1.136
10/04/2017 17:58,1.136
10/04/2017 18:03,1.136
10/04/2017 18:08,1.136
10/04/2017 18:13,1.136
10/04/2017 18:18,1.136
10/04/2017 18:23,1.136
10/04/2017 18:28,1.136
10/04/2017 18:33,1.136
10/04/2017 18:38,1.136
10/04/2017 18:43,1.136
10/04/2017 18:48,1.136
10/04/2017 18:53,1.136
10/04/2017 18:58,1.136
10/04/2017 19:03,1.136
10/04/2017 19:08,1.136
10/04/2017 19:13,1.136
10/04/2017 19:18,1.136
10/04/2017 19:23,1.136
10/04/2017 19:28,1.136
10/04/2017 19:33,1.136
10/04/2017 19:38,1.136
10/04/2017 19:43,1.136
10/04/2017 19:48,1.136
10/04/2017 19:53,1.136
10/04/2017 19:58,1.136
10/04/2017 20:03,1.136
10/04/2017 20:08,1.136
10/04/2017 20:13,1.136
10/04/2017 20:18,1.136
10/04/2017 20:23,1.136
10/04/2017 20:28,1.136
10/04/2017 20:33,1.136
10/04/2017 20:38,1.136
10/04/2017 20:43,1.136
10/04/2017 20:48,1.136
10/04/2017 20:53,1.136
10/04/2017 20:58,7.949
10/04/2017 21:03,20.44
10/04/2017 21:08,45.422
10/04/2017 21:13,223.704
10/04/2017 21:18,346.344
10/04/2017 21:23,528.033
10/04/2017 21:28,528.033
10/04/2017 21:33,909.58
10/04/2017 21:38,1672.673
10/04/2017 21:43,1963.375
10/04/2017 21:48,2036.05
10/04/2017 21:53,1890.699
10/04/2017 21:58,2108.726
10/04/2017 22:03,2108.726
10/04/2017 22:08,2617.455
10/04/2017 22:13,3344.21
10/04/2017 22:18,3489.561
10/04/2017 22:23,3634.912
10/04/2017 22:28,4216.316
10/04/2017 22:33,4070.965
10/04/2017 22:38,5233.774
10/04/2017 22:43,5524.476
10/04/2017 22:48,5815.178
10/04/2017 22:53,4943.071
10/04/2017 22:58,4652.369
10/04/2017 23:03,4216.316
10/04/2017 23:08,7850.093
10/04/2017 23:13,8431.497
10/04/2017 23:18,11629.22
10/04/2017 23:23,9303.603
10/04/2017 23:28,691.553
10/04/2017 23:33,9012.901
10/04/2017 23:38,3634.912
10/04/2017 23:43,12792.028
10/04/2017 23:48,7850.093
10/04/2017 23:53,18606.071
10/04/2017 23:58,13954.837
11/04/2017 0:03,18606.071
11/04/2017 0:08,12792.028
11/04/2017 0:13,17443.262
11/04/2017 0:18,16280.454
11/04/2017 0:23,11629.22
11/04/2017 0:28,15117.645
11/04/2017 0:33,23257.304
11/04/2017 0:38,30234.155
11/04/2017 0:43,37211.006
11/04/2017 0:48,17443.262
11/04/2017 0:53,655.215
11/04/2017 0:58,655.215
11/04/2017 1:03,691.553
11/04/2017 1:08,764.229
11/04/2017 1:13,873.242
11/04/2017 1:18,727.891
11/04/2017 1:23,982.255
11/04/2017 1:28,618.878
11/04/2017 1:33,655.215
11/04/2017 1:38,655.215
11/04/2017 1:43,836.904
11/04/2017 1:48,1236.62
11/04/2017 1:53,691.553
11/04/2017 1:58,836.904
11/04/2017 2:03,945.917
11/04/2017 2:08,764.229
11/04/2017 2:13,800.566
11/04/2017 2:18,945.917
11/04/2017 2:23,1018.593
11/04/2017 2:28,982.255
11/04/2017 2:33,1091.268
11/04/2017 2:38,1599.997
11/04/2017 2:43,1672.673
11/04/2017 2:48,1745.348
11/04/2017 2:53,1527.322
11/04/2017 2:58,3489.561
11/04/2017 3:03,74418.605
11/04/2017 3:08,65118.408
11/04/2017 3:13,74418.605
11/04/2017 3:18,69769.642
11/04/2017 3:23,60467.174
11/04/2017 3:28,74418.605
11/04/2017 3:33,74418.605
11/04/2017 3:38,74418.605
11/04/2017 3:43,18606.071
11/04/2017 3:48,25582.921
11/04/2017 3:53,69769.642
11/04/2017 3:58,23257.304
11/04/2017 4:03,11629.22
11/04/2017 4:08,11629.22
11/04/2017 4:13,9303.603
11/04/2017 4:18,17443.262
11/04/2017 4:23,9303.603
11/04/2017 4:28,25582.921
11/04/2017 4:33,12792.028
11/04/2017 4:38,11629.22
11/04/2017 4:43,16280.454
11/04/2017 4:48,74418.605
11/04/2017 4:53,13954.837
11/04/2017 4:58,20931.687
11/04/2017 5:03,30234.155
11/04/2017 5:08,41862.239
11/04/2017 5:13,25582.921
11/04/2017 5:18,27908.538
11/04/2017 5:23,20931.687
11/04/2017 5:28,34885.389
11/04/2017 5:33,23257.304
11/04/2017 5:38,30234.155
